track_id,user_id,playcount,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TRNTNZL128F4259856,449bfa756a8e71f501aed4a84250aa1237f0040a,6,Warriors Of Time,Black Tide,https://p.scdn.co/mp3-preview/422c550a1fcd2708e550e3af6569d1a8b60a44fc?cid=774b29d4f13844c495f206cafdad9c86,0nrSYmFi8NKxnBClCUF1xZ,"metal, heavy_metal, thrash_metal",Metal,2008,352573,0.289,0.994,5,-3.724,1,0.176,4.47e-05,0.0196,0.132,0.203,117.516,4
TRNBMJP128F93433D8,b218f76e5053c281ba233cf43845a285bfc3049f,1,Kilometros,Sin Bandera,https://p.scdn.co/mp3-preview/439f464362d93fec289b56178beb7e7642676b20?cid=774b29d4f13844c495f206cafdad9c86,0AcFsf9FGjL1Al2RBQ1Crq,classical,,2001,221560,0.6,0.489,9,-8.17,1,0.0283,0.303,0.0,0.118,0.277,129.975,4
TRDYGUV12903CDAF1E,533cbbc0be49822ce40f1d7fce2dc5db2dd377e1,1,A Mutiny,Red Sparowes,https://p.scdn.co/mp3-preview/e6570c5e1fd185ffd65210293633b9667b862a81?cid=774b29d4f13844c495f206cafdad9c86,4i39VKIzzOgVQS1OPoXvFG,"experimental, instrumental, post_rock",,2010,331866,0.247,0.526,2,-7.984,0,0.032,0.2,0.878,0.108,0.13,135.448,4
TRUSRFO128F147FC82,9c0e51864b053caeb212fefd0843de3af6a19283,1,That's Just the Way It Is,Phil Collins,https://p.scdn.co/mp3-preview/5e513b57761cafc729315b5656c316d0501a8f8e?cid=774b29d4f13844c495f206cafdad9c86,1mQat4bUvjF4RycotIOcF7,"rock, pop, 80s, pop_rock",Rock,1989,320306,0.62,0.169,5,-19.871,1,0.0251,0.298,0.000159,0.379,0.333,96.004,4
TRITUFI128F147B77A,57255430f4d62c72429c1b3808b64ac1bca08144,2,Another Town,Regina Spektor,https://p.scdn.co/mp3-preview/5a367d0bc1ac2fa8d8c1f5d59dc5b7880a9392d9?cid=774b29d4f13844c495f206cafdad9c86,2O4uO8jHAULYH5gMIy9eVD,"female_vocalists, piano, russian",,2006,247693,0.305,0.25,0,-9.784,1,0.0311,0.954,0.634,0.124,0.238,175.027,4
TRQLWDC128F42396CF,41d133cf41b0c73f3023a3173ecdaf9540943e30,1,Cliquot,Beirut,https://p.scdn.co/mp3-preview/97fbe9951620a79abda2c38c3834527dd5d9e465?cid=774b29d4f13844c495f206cafdad9c86,3Is25qMgJEyCM5w764pChe,"indie, experimental, folk, instrumental, singer_songwriter, american",Folk,2007,233520,0.528,0.458,4,-7.202,0,0.0307,0.842,8.11e-06,0.0956,0.624,150.268,3
TRZVSCY12903CC0515,7b33d9566abf9134d3815f768ed163ddf3172bbd,1,Fire Brigade,The Move,https://p.scdn.co/mp3-preview/ce7371762cc88056eaa042d89617f2c09f65bf5b?cid=774b29d4f13844c495f206cafdad9c86,2DtSPDSIgIZ5XrJuOJnvAq,"60s, oldies, psychedelic_rock",,2009,142493,0.506,0.882,7,-5.944,1,0.0632,0.664,0.0,0.333,0.51,80.211,4
TRTGMHE128F92F80C1,c02d632a9f92499b028f32744b0de643eae11a57,1,Eitheror,Little People,https://p.scdn.co/mp3-preview/dd3b7a92f82eb7cf8f1ab00eff33a564fbe72055?cid=774b29d4f13844c495f206cafdad9c86,1bhRkHaQAVKNlH4arrrJQv,"electronic, trip_hop, downtempo",Electronic,2006,345266,0.601,0.551,4,-9.848,0,0.0253,0.286,0.92,0.131,0.266,104.012,4
TRVJAUG12903CC4945,e06a53ce6caadf8447bb3b0d33319f6f30b73c45,1,Bus to Beelzebub,Soul Coughing,https://p.scdn.co/mp3-preview/0f3702146aa6ab460ec149962e15f5953e8eba3e?cid=774b29d4f13844c495f206cafdad9c86,1B0kPXk3hovx8Gt3FTgPqb,"rock, alternative, indie, alternative_rock, experimental, indie_rock, 90s",,2002,276706,0.635,0.797,5,-8.668,1,0.0469,0.295,0.00302,0.0689,0.822,123.149,4
TRLQXVM128F423982A,ae9b78d3773aae5fb09d62fec684bfbeaff6c2f2,3,To Burn The Eye,Trivium,https://p.scdn.co/mp3-preview/04bfbc7ff4a8e807d905bc750dfd26431e1aa413?cid=774b29d4f13844c495f206cafdad9c86,19fwA1wpzckkXFTzUiXoU5,"metal, heavy_metal, thrash_metal, metalcore",Metal,2016,421133,0.25,0.845,1,-9.86,1,0.0984,6.17e-06,0.0117,0.0646,0.356,91.677,4
